PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40066698,Single-cell profiling reveals the intratumor heterogeneity and immunosuppressive microenvironment in cervical adenocarcinoma.,2025-Mar-11,Yilin Li; Jia Shen; Chaonan Chu; Yang Peng; Dihong Tang; Congrong Liu; Jixing Ao; Jing Yang; Xiang He; Liang Weng,N/A,N/A
40066676,Arid4a Suppresses Breast Tumor Metastasis by Enhancing MTSS1 Expression via mRNA Stability.,2025-Mar,Pengfei Wan; Dandan Zhang; Xueting Liu; Wenbao Lu,N/A,N/A
40066672,Multifunctional Liposomes with Enhanced Stability for Imaging-Guided Cancer Chemodynamic and Photothermal Therapy.,2025-Mar-11,Jun Wang; He Ren; Xingyue Yang; Yubao Jin; Ningning Song; Yumiao Zhang; Meiqi Zhang; Jingyu Zhang; Qixian Peng; Ren Fang,N/A,N/A
40066659,Inhibition of HDAC4 in granulosa cells improved co-cultured oocyte maturation in vitro independent of LH in porcine.,2025-Mar-11,Zhenzi Zuo,"State Key Laboratory of Animal Biotech Breeding, College of Biological Sciences, China Agricultural University, Beijing 100193, China.",N/A
40066656,Socioeconomic Disparities in Prostate Cancer Treatment: The Impact of Area Deprivation Index on Initial Treatment Type for Localized PCa in a North-American Cohort.,2025-Mar-11,Giovanni Lughezzani; Marta Rossanese; Craig Rogers; Alberto Briganti; Akshay Sood; Alessio Finocchiaro; Nicolò Buffi; Andrea Salonia; Francesco Montorsi; Silvia Viganò; Ettore Di Trapani; Alessandro Bertini; Vincenzo Ficarra; Alex Stephens; Firas Abdollah; Marco Finati,N/A,N/A
40066652,Intestinal polyps and chronic schistosomiasis.,2025-Mar-11,Andressa Plaça Tedeschi; Vitorino M Santos,N/A,N/A
40066644,Impact of Neoadjuvant and Adjuvant Pleural Intensity-Modulated Radiotherapy in Multimodality Treatment for Malignant Pleural Mesothelioma.,2025-Mar,Wolfgang J Köstler; Sabine Zöchbauer-Müller; Daniela Gompelmann; Martin Heilmann; Karin Dieckmann; Ariane Steindl; Joachim Widder; Stefan Schwarz; Anna Cho; Clemens Aigner; Mir Alireza Hoda; Berta Mosleh; Katharina Sinn; Thomas Klikovits,N/A,N/A
40066615,NTRK protein expression in NSCLC and its clinicopathological correlation.,2025-Feb-26,Jair Gutierrez-Herrera; Luigi De Petris; Simon Ekman; Cristian Ortiz-Villalón; Ricardo Guijarro; M Angeles Montero-Fernandez,N/A,N/A
40066580,Comorbidities of hypothyroidism.,2025-Mar-11,Gabriela Brenta; Ulrike Gottwald-Hostalek,N/A,N/A
40066559,Prognostic Value of Serum β2-Microglobulin in Predicting Survival of Patients with Diffuse Large B-Cell Lymphoma.,2025-Mar-01,N/A,N/A,N/A
